id;text;aspect;polarity;start_position;end_position
5000;Nossa estadia no Hotel Sunshine Paradise foi absolutamente incrível! Desde o momento em que entramos, fomos recebidos com sorrisos calorosos e um serviço excepcional. Os quartos eram espaçosos e impecavelmente limpos. A equipe fez de tudo para garantir que nos sentíssemos em casa. A localização também é perfeita, perto de todas as principais atrações. Definitivamente voltarei!;quartos;1;170;177
5001;Que decepção! O Restaurante Sabor & Arte foi uma verdadeira decepção. O serviço foi lento e desorganizado, e a comida estava longe de ser saborosa. Além disso, o ambiente estava sujo e pouco convidativo. Definitivamente não recomendaria este lugar a ninguém. Uma experiência extremamente desapontadora.;serviço;-1;72;79
5002;Que decepção! O Restaurante Sabor & Arte foi uma verdadeira decepção. O serviço foi lento e desorganizado, e a comida estava longe de ser saborosa. Além disso, o ambiente estava sujo e pouco convidativo. Definitivamente não recomendaria este lugar a ninguém. Uma experiência extremamente desapontadora.;comida;-1;111;117
5003;A Praia do Sol é um lugar agradável para passar o dia. A areia é macia e a água é cristalina. No entanto, estava muito lotada quando visitamos, o que tirou um pouco da experiência relaxante. Ainda assim, é uma opção decente se você estiver procurando um lugar para se bronzear e nadar.;lotada;-1;119;125
5004;A Praia do Sol é um lugar agradável para passar o dia. A areia é macia e a água é cristalina. No entanto, estava muito lotada quando visitamos, o que tirou um pouco da experiência relaxante. Ainda assim, é uma opção decente se você estiver procurando um lugar para se bronzear e nadar.;água;0;75;79
5005;Que lugar fascinante! O Museu Histórico da Cidade é uma verdadeira jóia. A quantidade de artefatos e informações históricas é impressionante. A equipe também é muito experiente e prestativa. Aprendemos muito durante nossa visita e definitivamente recomendaríamos a todos os amantes da história.;artefatos;1;89;98
5006;Minha estadia no Hotel Estrela do Mar foi uma verdadeira decepção. O quarto estava sujo e mal conservado, e o serviço deixou muito a desejar. Além disso, o barulho dos hóspedes nos corredores durante a noite era insuportável. Não consegui ter uma noite de sono decente durante toda a estadia. Definitivamente não voltarei e não recomendo este hotel a ninguém.;quarto;-1;69;75
5007;Minha estadia no Hotel Estrela do Mar foi uma verdadeira decepção. O quarto estava sujo e mal conservado, e o serviço deixou muito a desejar. Além disso, o barulho dos hóspedes nos corredores durante a noite era insuportável. Não consegui ter uma noite de sono decente durante toda a estadia. Definitivamente não voltarei e não recomendo este hotel a ninguém.;serviço;-1;110;117
5008;Minha estadia no Hotel Estrela do Mar foi uma verdadeira decepção. O quarto estava sujo e mal conservado, e o serviço deixou muito a desejar. Além disso, o barulho dos hóspedes nos corredores durante a noite era insuportável. Não consegui ter uma noite de sono decente durante toda a estadia. Definitivamente não voltarei e não recomendo este hotel a ninguém.;barulho;-1;156;163
5009;O restaurante ao lado do hotel tinha uma comida deliciosa e um ambiente encantador. Sem dúvida, uma excelente opção para jantar!;comida;1;41;47
5010;O restaurante ao lado do hotel tinha uma comida deliciosa e um ambiente encantador. Sem dúvida, uma excelente opção para jantar!;ambiente;1;63;71
5011;A trilha para chegar à cachoeira foi incrível! A natureza ao redor é deslumbrante e a cachoeira em si é simplesmente magnífica. Definitivamente vale a pena visitar!;trilha;1;2;8
5012;A trilha para chegar à cachoeira foi incrível! A natureza ao redor é deslumbrante e a cachoeira em si é simplesmente magnífica. Definitivamente vale a pena visitar!;cachoeira;1;23;32
5013;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;serviço;1;19;26
5014;O hotel oferece um serviço de transporte conveniente para os pontos turísticos locais. Isso facilitou muito o nosso passeio pela cidade.;passeio;1;116;123
5015;O quarto do hotel tinha uma vista deslumbrante para o mar. Passamos horas apenas admirando a paisagem!;vista;1;28;33
5016;O quarto do hotel tinha uma vista deslumbrante para o mar. Passamos horas apenas admirando a paisagem!;mar;1;54;57
5017;O café da manhã oferecido pelo hotel era variado e delicioso. Uma ótima maneira de começar o dia!;café;1;2;6
5018;O serviço de limpeza do hotel deixou um pouco a desejar. O banheiro não estava tão limpo quanto esperávamos.;limpeza;-1;13;20
5019;O serviço de limpeza do hotel deixou um pouco a desejar. O banheiro não estava tão limpo quanto esperávamos.;banheiro;-1;59;67
5020;O quarto do hotel era espaçoso e confortável. Tivemos uma ótima noite de sono!;quarto;1;2;8
5021;O hotel oferece uma piscina aquecida, perfeita para relaxar após um longo dia de passeio pela cidade.;piscina;1;20;27
5022;O hotel oferece uma piscina aquecida, perfeita para relaxar após um longo dia de passeio pela cidade.;relaxar;1;52;59
5023;A comida servida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;comida;1;2;8
5024;A comida servida no restaurante do hotel estava deliciosa. Recomendo experimentar o prato de frutos do mar!;frutos do mar;1;93;106
5025;O hotel oferece um spa maravilhoso, onde pudemos desfrutar de massagens relaxantes. Foi uma experiência rejuvenescedora!;spa;1;19;22
5026;A equipe do hotel foi extremamente atenciosa e prestativa durante toda a nossa estadia. Nos sentimos muito bem cuidados!;cuidados;1;111;119
5027;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;localização;1;2;13
5028;A localização do hotel é perfeita, com fácil acesso às principais atrações da cidade.;atrações;1;66;74
5029;O serviço de Wi-Fi do hotel deixou a desejar. A conexão estava lenta e instável na maior parte do tempo.;Wi-Fi;-1;13;18
5030;O serviço de Wi-Fi do hotel deixou a desejar. A conexão estava lenta e instável na maior parte do tempo.;conexão;-1;48;55
5031;O hotel oferece estacionamento gratuito, o que foi muito conveniente para nós que estávamos de carro.;estacionamento;1;16;30
5032;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;academia;1;2;10
5033;A academia do hotel estava bem equipada e limpa. Foi ótimo poder manter minha rotina de exercícios durante a viagem.;exercícios;1;88;98
5034;O hotel oferece um serviço de lavanderia eficiente, que nos ajudou muito durante nossa estadia prolongada.;lavanderia;1;30;40
5035;O hotel estava lotado durante o feriado, o que resultou em longas filas para o café da manhã e para usar as áreas comuns.;lotado;-1;15;21
5036;O hotel estava lotado durante o feriado, o que resultou em longas filas para o café da manhã e para usar as áreas comuns.;feriado;-1;32;39
5037;A comida no restaurante do hotel estava fria e sem sabor. Definitivamente não correspondeu às nossas expectativas.;comida;-1;2;8
5038;A comida no restaurante do hotel estava fria e sem sabor. Definitivamente não correspondeu às nossas expectativas.;sabor;-1;51;56
